"","sireID","damID","crossPattern"
"1","S827F4_065_1","S827F4_065_1","Selfing"
"2","S827F4_065_1","S827F4_124_3","Within"
"3","S827F4_124_3","S827F4_124_3","Selfing"
"4","S827F4_065_1","S827F4_057_2","Within"
"5","S827F4_124_3","S827F4_057_2","Within"
"6","S827F4_057_2","S827F4_057_2","Selfing"
"7","S827F4_065_1","S827F4_009_1","Within"
"8","S827F4_124_3","S827F4_009_1","Within"
"9","S827F4_057_2","S827F4_009_1","Within"
"10","S827F4_009_1","S827F4_009_1","Selfing"
"11","S827F4_065_1","S827F4_051_2","Within"
"12","S827F4_124_3","S827F4_051_2","Within"
"13","S827F4_057_2","S827F4_051_2","Within"
"14","S827F4_009_1","S827F4_051_2","Within"
"15","S827F4_051_2","S827F4_051_2","Selfing"
"16","S827F4_065_1","S827F4_055_2","Within"
"17","S827F4_124_3","S827F4_055_2","Within"
"18","S827F4_057_2","S827F4_055_2","Within"
"19","S827F4_009_1","S827F4_055_2","Within"
"20","S827F4_051_2","S827F4_055_2","Within"
"21","S827F4_055_2","S827F4_055_2","Selfing"
"22","S827F4_065_1","S827F4_008_1","Within"
"23","S827F4_124_3","S827F4_008_1","Within"
"24","S827F4_057_2","S827F4_008_1","Within"
"25","S827F4_009_1","S827F4_008_1","Within"
"26","S827F4_051_2","S827F4_008_1","Within"
"27","S827F4_055_2","S827F4_008_1","Within"
"28","S827F4_008_1","S827F4_008_1","Selfing"
"29","S827F4_065_1","S827F4_096_3","Within"
"30","S827F4_124_3","S827F4_096_3","Within"
"31","S827F4_057_2","S827F4_096_3","Within"
"32","S827F4_009_1","S827F4_096_3","Within"
"33","S827F4_051_2","S827F4_096_3","Within"
"34","S827F4_055_2","S827F4_096_3","Within"
"35","S827F4_008_1","S827F4_096_3","Within"
"36","S827F4_096_3","S827F4_096_3","Selfing"
"37","S827F4_065_1","S827F4_013_2","Within"
"38","S827F4_124_3","S827F4_013_2","Within"
"39","S827F4_057_2","S827F4_013_2","Within"
"40","S827F4_009_1","S827F4_013_2","Within"
"41","S827F4_051_2","S827F4_013_2","Within"
"42","S827F4_055_2","S827F4_013_2","Within"
"43","S827F4_008_1","S827F4_013_2","Within"
"44","S827F4_096_3","S827F4_013_2","Within"
"45","S827F4_013_2","S827F4_013_2","Selfing"
"46","S827F4_065_1","S827F4_016_1","Within"
"47","S827F4_124_3","S827F4_016_1","Within"
"48","S827F4_057_2","S827F4_016_1","Within"
"49","S827F4_009_1","S827F4_016_1","Within"
"50","S827F4_051_2","S827F4_016_1","Within"
"51","S827F4_055_2","S827F4_016_1","Within"
"52","S827F4_008_1","S827F4_016_1","Within"
"53","S827F4_096_3","S827F4_016_1","Within"
"54","S827F4_013_2","S827F4_016_1","Within"
"55","S827F4_016_1","S827F4_016_1","Selfing"
"56","S827F4_065_1","S827F4_047_3","Within"
"57","S827F4_124_3","S827F4_047_3","Within"
"58","S827F4_057_2","S827F4_047_3","Within"
"59","S827F4_009_1","S827F4_047_3","Within"
"60","S827F4_051_2","S827F4_047_3","Within"
"61","S827F4_055_2","S827F4_047_3","Within"
"62","S827F4_008_1","S827F4_047_3","Within"
"63","S827F4_096_3","S827F4_047_3","Within"
"64","S827F4_013_2","S827F4_047_3","Within"
"65","S827F4_016_1","S827F4_047_3","Within"
"66","S827F4_047_3","S827F4_047_3","Selfing"
"67","S827F4_065_1","S827F4_157_1","Within"
"68","S827F4_124_3","S827F4_157_1","Within"
"69","S827F4_057_2","S827F4_157_1","Within"
"70","S827F4_009_1","S827F4_157_1","Within"
"71","S827F4_051_2","S827F4_157_1","Within"
"72","S827F4_055_2","S827F4_157_1","Within"
"73","S827F4_008_1","S827F4_157_1","Within"
"74","S827F4_096_3","S827F4_157_1","Within"
"75","S827F4_013_2","S827F4_157_1","Within"
"76","S827F4_016_1","S827F4_157_1","Within"
"77","S827F4_047_3","S827F4_157_1","Within"
"78","S827F4_157_1","S827F4_157_1","Selfing"
"79","S827F4_065_1","S827F4_075_2","Within"
"80","S827F4_124_3","S827F4_075_2","Within"
"81","S827F4_057_2","S827F4_075_2","Within"
"82","S827F4_009_1","S827F4_075_2","Within"
"83","S827F4_051_2","S827F4_075_2","Within"
"84","S827F4_055_2","S827F4_075_2","Within"
"85","S827F4_008_1","S827F4_075_2","Within"
"86","S827F4_096_3","S827F4_075_2","Within"
"87","S827F4_013_2","S827F4_075_2","Within"
"88","S827F4_016_1","S827F4_075_2","Within"
"89","S827F4_047_3","S827F4_075_2","Within"
"90","S827F4_157_1","S827F4_075_2","Within"
"91","S827F4_075_2","S827F4_075_2","Selfing"
"92","S827F4_065_1","S827F4_162_2","Within"
"93","S827F4_124_3","S827F4_162_2","Within"
"94","S827F4_057_2","S827F4_162_2","Within"
"95","S827F4_009_1","S827F4_162_2","Within"
"96","S827F4_051_2","S827F4_162_2","Within"
"97","S827F4_055_2","S827F4_162_2","Within"
"98","S827F4_008_1","S827F4_162_2","Within"
"99","S827F4_096_3","S827F4_162_2","Within"
"100","S827F4_013_2","S827F4_162_2","Within"
"101","S827F4_016_1","S827F4_162_2","Within"
"102","S827F4_047_3","S827F4_162_2","Within"
"103","S827F4_157_1","S827F4_162_2","Within"
"104","S827F4_075_2","S827F4_162_2","Within"
"105","S827F4_162_2","S827F4_162_2","Selfing"
"106","S827F4_065_1","S827F4_155_1","Within"
"107","S827F4_124_3","S827F4_155_1","Within"
"108","S827F4_057_2","S827F4_155_1","Within"
"109","S827F4_009_1","S827F4_155_1","Within"
"110","S827F4_051_2","S827F4_155_1","Within"
"111","S827F4_055_2","S827F4_155_1","Within"
"112","S827F4_008_1","S827F4_155_1","Within"
"113","S827F4_096_3","S827F4_155_1","Within"
"114","S827F4_013_2","S827F4_155_1","Within"
"115","S827F4_016_1","S827F4_155_1","Within"
"116","S827F4_047_3","S827F4_155_1","Within"
"117","S827F4_157_1","S827F4_155_1","Within"
"118","S827F4_075_2","S827F4_155_1","Within"
"119","S827F4_162_2","S827F4_155_1","Within"
"120","S827F4_155_1","S827F4_155_1","Selfing"
"121","S827F4_065_1","S827F4_156_2","Within"
"122","S827F4_124_3","S827F4_156_2","Within"
"123","S827F4_057_2","S827F4_156_2","Within"
"124","S827F4_009_1","S827F4_156_2","Within"
"125","S827F4_051_2","S827F4_156_2","Within"
"126","S827F4_055_2","S827F4_156_2","Within"
"127","S827F4_008_1","S827F4_156_2","Within"
"128","S827F4_096_3","S827F4_156_2","Within"
"129","S827F4_013_2","S827F4_156_2","Within"
"130","S827F4_016_1","S827F4_156_2","Within"
"131","S827F4_047_3","S827F4_156_2","Within"
"132","S827F4_157_1","S827F4_156_2","Within"
"133","S827F4_075_2","S827F4_156_2","Within"
"134","S827F4_162_2","S827F4_156_2","Within"
"135","S827F4_155_1","S827F4_156_2","Within"
"136","S827F4_156_2","S827F4_156_2","Selfing"
"137","S827F4_065_1","S827F4_084_3","Within"
"138","S827F4_124_3","S827F4_084_3","Within"
"139","S827F4_057_2","S827F4_084_3","Within"
"140","S827F4_009_1","S827F4_084_3","Within"
"141","S827F4_051_2","S827F4_084_3","Within"
"142","S827F4_055_2","S827F4_084_3","Within"
"143","S827F4_008_1","S827F4_084_3","Within"
"144","S827F4_096_3","S827F4_084_3","Within"
"145","S827F4_013_2","S827F4_084_3","Within"
"146","S827F4_016_1","S827F4_084_3","Within"
"147","S827F4_047_3","S827F4_084_3","Within"
"148","S827F4_157_1","S827F4_084_3","Within"
"149","S827F4_075_2","S827F4_084_3","Within"
"150","S827F4_162_2","S827F4_084_3","Within"
"151","S827F4_155_1","S827F4_084_3","Within"
"152","S827F4_156_2","S827F4_084_3","Within"
"153","S827F4_084_3","S827F4_084_3","Selfing"
"154","S827F4_065_1","S827F4_099_2","Within"
"155","S827F4_124_3","S827F4_099_2","Within"
"156","S827F4_057_2","S827F4_099_2","Within"
"157","S827F4_009_1","S827F4_099_2","Within"
"158","S827F4_051_2","S827F4_099_2","Within"
"159","S827F4_055_2","S827F4_099_2","Within"
"160","S827F4_008_1","S827F4_099_2","Within"
"161","S827F4_096_3","S827F4_099_2","Within"
"162","S827F4_013_2","S827F4_099_2","Within"
"163","S827F4_016_1","S827F4_099_2","Within"
"164","S827F4_047_3","S827F4_099_2","Within"
"165","S827F4_157_1","S827F4_099_2","Within"
